Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,br.com.concrete.canarinho.validator,2,2,2,1,9,1,7,0,,,,,14,6,12,,7,,32,8,,,,38,,3,12,0,23,,612,,,,142,,,,372,,,138,193,98,,,,,,,144,231,122,,,147,,,,,,,,7,7,8,6,,,2,,,,0.26,75,75,91,54
Package,br.com.concrete.canarinho.watcher,1,1,2,1,11,1,6,3,,,,,9,0,12,,7,,43,23,,,,43,,1,9,5,28,,734,,,,146,,,,407,,,180,198,183,,,,,,,211,299,162,,,171,,,,,,,,9,9,9,5,,,3,,,,0.45,85,85,91,53
Package,br.com.concrete.canarinho.formatador,1,1,1,1,8,1,6,0,,,,,15,6,30,,8,,44,14,,,,50,,11,11,0,28,,791,,,,168,,,,506,,,229,282,127,,,,,,,201,295,170,,,198,,,,,,,,5,5,6,3,,,2,,,,0.25,82,82,86,48
Package,br.com.concrete.canarinho.test,1,1,1,1,13,2,10,0,,,,,9,0,0,,9,,48,0,,,,48,,0,8,0,40,,858,,,,188,,,,638,,,179,386,32,,,,,,,392,468,130,,,340,,,,,,,,3,3,3,1,,,1,,,,0.05,67,67,67,48
File,Watchers.java,1,1,1,1,3,0,3,0,,,,,12,0,0,29,,29,31,12,,,,31,,2,0,0,29,,222,,,,42,,,,169,,,92,47,11,,,,,,,53,86,50,,,36,,,,,,,,5,5,5,1,,,1,,,,0.07,33,33,33,29
Package,br.com.concrete.canarinho.sample.ui.model,1,1,1,1,3,0,3,0,,,,,12,0,0,,1,,31,12,,,,31,,2,0,0,29,,222,,,,42,,,,169,,,92,47,11,,,,,,,53,86,50,,,36,,,,,,,,5,5,5,1,,,1,,,,0.07,33,33,33,29
File,BaseCanarinhoTextWatcher.java,2,2,2,1,12,1,7,3,,,,,1,0,0,12,,12,12,3,,,,12,,0,3,4,5,,188,,,,35,,,,103,,,35,54,52,,,,,,,49,74,32,,,46,,,,,,,,5,5,7,5,,,3,,,,0.50,26,26,28,18
Public Abstract Class,br.com.concrete.canarinho.watcher.BaseCanarinhoTextWatcher,2,2,2,1,12,1,7,3,2,12,12,5,,0,0,,,,12,3,,,,12,12,0,3,4,5,,178,,,,32,,,,96,,,28,54,52,,,,,,,42,67,25,,,46,,,,,,,,5,5,7,5,,1,3,,80,75,0.54,26,26,28,18
File,ValidadorBoleto.java,3,3,3,2,13,3,10,0,,,,,2,1,5,8,,8,7,0,,,,8,,0,5,0,3,,165,,,,40,,,,110,,,32,66,15,,,,,,,41,66,27,,,48,,,,,,,,7,7,8,6,,,1,,,,0.14,25,25,27,19
Public Class,br.com.concrete.canarinho.validator.ValidadorBoleto,3,3,3,2,13,3,10,0,2,13,13,0,,1,4,,,,7,0,,,,8,8,0,5,0,3,,155,,,,36,,,,104,,,26,66,15,,,,,,,35,60,21,,,48,,,,,,,,7,7,8,6,,1,1,,0,0,0.14,25,25,27,19
Package,br.com.concrete.canarinho.sample,1,1,1,1,11,2,8,0,,,,,3,0,0,,2,,23,1,,,,23,,0,2,0,21,,335,,,,82,,,,243,,,86,135,14,,,,,,,112,138,66,,,74,,,,,,,,2,2,2,1,,,1,,,,0.06,24,24,24,23
File,BoletoBancarioTextWatcher.java,3,3,3,1,15,2,11,1,,,,,1,0,4,6,,6,6,2,,,,6,,0,2,1,3,,131,,,,27,,,,87,,,32,53,17,,,,,,,44,65,28,,,46,,,,,,,,9,9,9,3,,,3,,,,0.20,21,21,23,8
Public Class,br.com.concrete.canarinho.watcher.BoletoBancarioTextWatcher,3,3,3,1,15,2,11,1,1,13,13,0,,0,4,,,,6,2,,,,6,18,0,2,1,3,,119,,,,23,,,,79,,,24,53,17,,,,,,,36,57,20,,,46,,,,,,,,9,9,9,3,,2,3,,75,75,0.22,21,21,23,8
File,DemoWatchersInstrumentationTest.java,1,1,1,1,11,2,8,0,,,,,2,0,0,21,,21,21,1,,,,21,,0,2,0,19,,307,,,,76,,,,221,,,69,131,14,,,,,,,101,124,54,,,72,,,,,,,,2,2,2,1,,,1,,,,0.06,22,22,22,21
File,DigitoPara.java,1,1,1,1,15,2,7,6,,,,,2,0,0,11,,11,11,11,,,,11,,0,3,0,8,,250,,,,41,,,,103,,,38,53,106,,,,,,,63,87,42,,,51,,,,,,,,6,6,6,1,,,1,,,,1.03,21,21,21,11
Package,br.com.concrete.canarinho,1,1,1,1,15,2,7,6,,,,,2,0,0,,1,,11,11,,,,11,,0,3,0,8,,250,,,,41,,,,103,,,38,53,106,,,,,,,63,87,42,,,51,,,,,,,,6,6,6,1,,,1,,,,1.03,21,21,21,11
Public Class,br.com.concrete.canarinho.sample.DemoWatchersInstrumentationTest,1,1,1,1,12,2,9,0,1,8,8,0,,0,0,,,,18,1,,,,18,18,0,2,0,16,,271,,,,71,,,,190,,,38,131,14,,,,,,,71,94,24,,,72,,,,,,,,1,1,1,1,,1,0,,100,100,0.07,18,18,18,18
File,FormatadorLinhaDigitavel.java,2,2,2,1,19,3,14,2,,,,,2,1,1,6,,6,5,0,,,,6,,1,1,0,4,,146,,,,32,,,,101,,,50,72,23,,,,,,,54,68,43,,,56,,,,,,,,5,5,6,1,,,2,,,,0.23,13,13,16,6
File,ValidadorCPF.java,2,2,3,1,12,2,9,0,,,,,2,1,2,5,,5,4,0,,,,5,,1,2,0,2,,96,,,,24,,,,62,,,23,35,10,,,,,,,25,39,21,,,26,,,,,,,,4,4,5,4,,,2,,,,0.16,12,12,16,8
Public Class,br.com.concrete.canarinho.formatador.FormatadorLinhaDigitavel,2,2,2,1,19,3,14,2,2,8,8,0,,1,0,,,,5,0,,,,6,6,1,1,0,4,,141,,,,30,,,,98,,,47,72,23,,,,,,,51,65,40,,,56,,,,,,,,5,5,6,1,,1,2,,0,0,0.23,13,13,16,6
Public Class,br.com.concrete.canarinho.validator.ValidadorCPF,2,2,3,1,12,2,9,0,2,10,10,0,,1,1,,,,4,0,,,,5,5,1,2,0,2,,88,,,,21,,,,57,,,19,35,10,,,,,,,21,35,17,,,26,,,,,,,,4,4,5,4,,1,2,,0,0,0.18,12,12,16,8
File,ValorMonetarioWatcher.java,1,1,1,1,10,1,5,3,,,,,2,0,0,9,,9,9,5,,,,9,,1,1,0,7,,134,,,,26,,,,73,,,32,31,35,,,,,,,34,49,27,,,25,,,,,,,,4,4,4,3,,,2,,,,0.48,14,14,14,11
File,FormatadorBase.java,2,2,2,1,10,1,7,1,,,,,1,0,0,6,,6,6,4,,,,6,,1,1,0,4,,92,,,,23,,,,57,,,23,22,12,,,,,,,23,36,15,,,22,,,,,,,,3,3,3,1,,,1,,,,0.21,12,12,13,6
File,ValidadorCPFCNPJ.java,2,2,2,1,7,1,6,0,,,,,2,1,1,5,,5,4,0,,,,5,,0,2,0,3,,55,,,,14,,,,40,,,14,16,1,,,,,,,14,26,12,,,16,,,,,,,,3,3,5,3,,,1,,,,0.03,10,10,13,7
Class,br.com.concrete.canarinho.formatador.FormatadorBase,2,2,2,1,10,1,7,1,2,5,5,0,,0,0,,,,6,4,,,,6,6,1,1,0,4,,87,,,,21,,,,54,,,20,22,12,,,,,,,20,33,12,,,22,,,,,,,,3,3,3,1,,1,1,,50,50,0.22,12,12,13,6
Public Class,br.com.concrete.canarinho.validator.ValidadorCPFCNPJ,2,2,2,1,7,1,6,0,2,10,10,0,,1,0,,,,4,0,,,,5,5,0,2,0,3,,48,,,,11,,,,36,,,11,16,1,,,,,,,11,23,9,,,16,,,,,,,,3,3,5,3,,1,1,,0,0,0.03,10,10,13,7
File,FormatadorCPFCNPJ.java,1,1,1,1,6,0,5,0,,,,,2,1,1,7,,7,6,0,,,,7,,1,2,0,4,,69,,,,15,,,,50,,,17,21,4,,,,,,,15,30,12,,,20,,,,,,,,3,3,3,3,,,1,,,,0.08,13,13,13,9
