Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
canarinho-master,br.com.concrete.canarinho,DigitoPara,DigitoPara,7,1,1,47
canarinho-master,br.com.concrete.canarinho,DigitoPara,calcula,24,5,1,56
canarinho-master,br.com.concrete.canarinho,DigitoPara,somaDigitos,3,1,1,104
canarinho-master,br.com.concrete.canarinho,DigitoPara,proximoMultiplicador,7,2,1,112
canarinho-master,br.com.concrete.canarinho,DigitoPara,mod,4,1,1,135
canarinho-master,br.com.concrete.canarinho,DigitoPara,comMultiplicadoresDeAte,7,2,2,147
canarinho-master,br.com.concrete.canarinho,DigitoPara,somandoIndividualmente,4,1,0,168
canarinho-master,br.com.concrete.canarinho,DigitoPara,complementarAoModulo,4,1,0,182
canarinho-master,br.com.concrete.canarinho,DigitoPara,trocandoPorSeEncontrar,7,2,2,195
canarinho-master,br.com.concrete.canarinho,DigitoPara,comMultiplicadores,5,1,1,213
canarinho-master,br.com.concrete.canarinho,DigitoPara,build,9,3,0,227
canarinho-master,br.com.concrete.canarinho,Builder,mod,4,1,1,135
canarinho-master,br.com.concrete.canarinho,Builder,comMultiplicadoresDeAte,7,2,2,147
canarinho-master,br.com.concrete.canarinho,Builder,somandoIndividualmente,4,1,0,168
canarinho-master,br.com.concrete.canarinho,Builder,complementarAoModulo,4,1,0,182
canarinho-master,br.com.concrete.canarinho,Builder,trocandoPorSeEncontrar,7,2,2,195
canarinho-master,br.com.concrete.canarinho,Builder,comMultiplicadores,5,1,1,213
canarinho-master,br.com.concrete.canarinho,Builder,build,9,3,0,227
canarinho-master,br.com.concrete.canarinho.formatador,Formatador,formata,0,1,1,73
canarinho-master,br.com.concrete.canarinho.formatador,Formatador,desformata,0,1,1,81
canarinho-master,br.com.concrete.canarinho.formatador,Formatador,estaFormatado,0,1,1,89
canarinho-master,br.com.concrete.canarinho.formatador,Formatador,podeSerFormatado,0,1,1,97
canarinho-master,br.com.concrete.canarinho.formatador,Formatador,Padroes,2,1,0,130
canarinho-master,br.com.concrete.canarinho.formatador,Padroes,Padroes,2,1,0,130
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorBase,FormatadorBase,6,1,4,20
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorBase,formata,9,3,1,40
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorBase,desformata,10,3,1,54
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorBase,estaFormatado,6,2,1,69
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorBase,podeSerFormatado,3,1,1,79
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorBase,matchAndReplace,6,2,2,84
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorBoleto,FormatadorBoleto,2,1,0,41
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorBoleto,formata,6,2,1,44
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorBoleto,desformata,6,2,1,54
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorBoleto,estaFormatado,6,2,1,64
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorBoleto,podeSerFormatado,6,2,1,74
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorBoleto,ehTributo,6,2,1,84
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorBoleto,getInstance,3,1,0,93
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorCEP,FormatadorCEP,2,1,0,8
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorCEP,getInstance,3,1,0,11
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorCEP,formata,3,1,1,15
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorCEP,desformata,3,1,1,20
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorCEP,estaFormatado,3,1,1,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorCEP,podeSerFormatado,6,2,1,30
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorCPFCNPJ,FormatadorCPFCNPJ,2,1,0,9
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorCPFCNPJ,getInstance,3,1,0,12
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorCPFCNPJ,formata,6,2,1,16
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorCPFCNPJ,desformata,6,2,1,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorCPFCNPJ,estaFormatado,6,2,1,34
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorCPFCNPJ,podeSerFormatado,9,3,1,43
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorCPFCNPJ,ehCpf,7,2,1,56
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,FormatadorLinhaDigitavel,2,1,0,18
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,getInstance,3,1,0,21
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,32,3,1,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,desformata,31,5,1,79
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,estaFormatado,3,1,1,131
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,podeSerFormatado,3,1,1,136
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorTelefone,FormatadorTelefone,2,1,0,40
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorTelefone,getInstance,3,1,0,43
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorTelefone,formata,6,2,1,47
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorTelefone,desformata,6,2,1,56
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorTelefone,estaFormatado,6,2,1,65
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorTelefone,podeSerFormatado,6,2,1,74
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorTelefone,ehNoveDigitos,6,2,1,83
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorValor,FormatadorValor,3,1,1,45
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorValor,getInstance,3,1,1,49
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorValor,formata,4,1,1,61
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorValor,desformata,15,3,1,67
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorValor,estaFormatado,6,2,1,88
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorValor,podeSerFormatado,6,2,1,98
canarinho-master,br.com.concrete.canarinho.validator,Validador,ehValido,0,1,1,41
canarinho-master,br.com.concrete.canarinho.validator,Validador,ehValido,0,1,2,49
canarinho-master,br.com.concrete.canarinho.validator,Validador,isValido,3,1,0,68
canarinho-master,br.com.concrete.canarinho.validator,Validador,isParcialmenteValido,3,1,0,72
