Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
canarinho-master,br.com.concrete.canarinho,DigitoPara,11,0,11,8,141,20,0,0,0.0,5,2,C:\Users\eduar\OneDrive\Documentos\Semestre 2022.1\QXD0042_QUALIDADE_DE_SOFTWARE\code smells\Code_Smells_QC_2022.1\.\canarinho-master\canarinho\src\main\java\br\com\concrete\canarinho\DigitoPara.java,11
canarinho-master,br.com.concrete.canarinho,Builder,5,0,7,7,84,11,0,0,0.5714285714285714,1,1,C:\Users\eduar\OneDrive\Documentos\Semestre 2022.1\QXD0042_QUALIDADE_DE_SOFTWARE\code smells\Code_Smells_QC_2022.1\.\canarinho-master\canarinho\src\main\java\br\com\concrete\canarinho\DigitoPara.java,123
canarinho-master,br.com.concrete.canarinho.formatador,Formatador,16,7,5,0,79,5,0,0,-1.0,23,1,C:\Users\eduar\OneDrive\Documentos\Semestre 2022.1\QXD0042_QUALIDADE_DE_SOFTWARE\code smells\Code_Smells_QC_2022.1\.\canarinho-master\canarinho\src\main\java\br\com\concrete\canarinho\formatador\Formatador.java,5
canarinho-master,br.com.concrete.canarinho.formatador,Padroes,7,7,1,0,14,1,0,0,0.0,2,0,C:\Users\eduar\OneDrive\Documentos\Semestre 2022.1\QXD0042_QUALIDADE_DE_SOFTWARE\code smells\Code_Smells_QC_2022.1\.\canarinho-master\canarinho\src\main\java\br\com\concrete\canarinho\formatador\Formatador.java,105
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorBase,4,0,6,4,56,12,0,0,0.3333333333333333,0,0,C:\Users\eduar\OneDrive\Documentos\Semestre 2022.1\QXD0042_QUALIDADE_DE_SOFTWARE\code smells\Code_Smells_QC_2022.1\.\canarinho-master\canarinho\src\main\java\br\com\concrete\canarinho\formatador\FormatadorBase.java,6
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorBoleto,7,0,7,4,47,12,0,0,0.5714285714285714,0,0,C:\Users\eduar\OneDrive\Documentos\Semestre 2022.1\QXD0042_QUALIDADE_DE_SOFTWARE\code smells\Code_Smells_QC_2022.1\.\canarinho-master\canarinho\src\main\java\br\com\concrete\canarinho\formatador\FormatadorBoleto.java,5
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorCEP,1,0,6,4,26,7,0,0,1.0,0,1,C:\Users\eduar\OneDrive\Documentos\Semestre 2022.1\QXD0042_QUALIDADE_DE_SOFTWARE\code smells\Code_Smells_QC_2022.1\.\canarinho-master\canarinho\src\main\java\br\com\concrete\canarinho\formatador\FormatadorCEP.java,3
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorCPFCNPJ,1,0,7,4,45,13,0,0,1.0,0,1,C:\Users\eduar\OneDrive\Documentos\Semestre 2022.1\QXD0042_QUALIDADE_DE_SOFTWARE\code smells\Code_Smells_QC_2022.1\.\canarinho-master\canarinho\src\main\java\br\com\concrete\canarinho\formatador\FormatadorCPFCNPJ.java,3
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,1,0,6,4,80,12,0,0,1.0,0,3,C:\Users\eduar\OneDrive\Documentos\Semestre 2022.1\QXD0042_QUALIDADE_DE_SOFTWARE\code smells\Code_Smells_QC_2022.1\.\canarinho-master\canarinho\src\main\java\br\com\concrete\canarinho\formatador\FormatadorLinhaDigitavel.java,6
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorTelefone,7,0,7,4,47,12,0,0,0.5714285714285714,0,1,C:\Users\eduar\OneDrive\Documentos\Semestre 2022.1\QXD0042_QUALIDADE_DE_SOFTWARE\code smells\Code_Smells_QC_2022.1\.\canarinho-master\canarinho\src\main\java\br\com\concrete\canarinho\formatador\FormatadorTelefone.java,5
