Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
canarinho-master,br.com.concrete.canarinho,DigitoPara,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Builder; DigitoPara
canarinho-master,br.com.concrete.canarinho.formatador,Formatador,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CEP; CPF; CNPJ; CPF_CNPJ; VALOR; VALOR_COM_SIMBOLO; BOLETO; TELEFONE; LINHA_DIGITAVEL; PADRAO_SOMENTE_NUMEROS; CEP_FORMATADO; CEP_DESFORMATADO; CNPJ_FORMATADO; CNPJ_DESFORMATADO; CPF_FORMATADO; CPF_DESFORMATADO
canarinho-master,br.com.concrete.canarinho.formatador,Padroes,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PADRAO_SOMENTE_NUMEROS; CEP_FORMATADO; CEP_DESFORMATADO; CNPJ_FORMATADO; CNPJ_DESFORMATADO; CPF_FORMATADO; CPF_DESFORMATADO
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorBase,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorBoleto,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
canarinho-master,br.com.concrete.canarinho.formatador,SingletonHolder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: INSTANCE
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorCEP,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
canarinho-master,br.com.concrete.canarinho.formatador,SingletonHolder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: INSTANCE
canarinho-master,br.com.concrete.canarinho.formatador,SingletonHolder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorCPFCNPJ,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
