Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
canarinho-master,br.com.concrete.canarinho,DigitoPara,somaDigitos,Magic Number,The method contains a magic number: 10,104
canarinho-master,br.com.concrete.canarinho,DigitoPara,somaDigitos,Magic Number,The method contains a magic number: 10,104
canarinho-master,br.com.concrete.canarinho,DigitoPara,build,Magic Number,The method contains a magic number: 2,227
canarinho-master,br.com.concrete.canarinho,DigitoPara,build,Magic Number,The method contains a magic number: 9,227
canarinho-master,br.com.concrete.canarinho,DigitoPara,build,Magic Number,The method contains a magic number: 11,227
canarinho-master,br.com.concrete.canarinho,Builder,build,Magic Number,The method contains a magic number: 2,227
canarinho-master,br.com.concrete.canarinho,Builder,build,Magic Number,The method contains a magic number: 9,227
canarinho-master,br.com.concrete.canarinho,Builder,build,Magic Number,The method contains a magic number: 11,227
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorCPFCNPJ,ehCpf,Magic Number,The method contains a magic number: 12,56
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Long Statement,The length of the statement "throw new IllegalArgumentException("Linha digitável deve conter 44 caracteres. " + "Valor possui " + value + " caracteres");" is 125.,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Long Statement,The length of the statement "return primeiroBloco + primeiroDigito + segundoBloco+ segundoDigito+ terceiroBloco+ terceiroDigito+ quartoBloco+ quartoDigito;" is 126.,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Long Statement,The length of the statement "final StringBuilder codigoOrdenado=new StringBuilder(primeiroBloco).append(terceiroBloco).append(quartoBloco).append(quintoBloco).append(segundoBloco);" is 151.,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Magic Number,The method contains a magic number: 44,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Magic Number,The method contains a magic number: 11,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Magic Number,The method contains a magic number: 11,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Magic Number,The method contains a magic number: 22,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Magic Number,The method contains a magic number: 22,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Magic Number,The method contains a magic number: 33,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Magic Number,The method contains a magic number: 33,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Magic Number,The method contains a magic number: 44,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Magic Number,The method contains a magic number: 2,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Magic Number,The method contains a magic number: 2,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Magic Number,The method contains a magic number: 4,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Magic Number,The method contains a magic number: 4,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Magic Number,The method contains a magic number: 19,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Magic Number,The method contains a magic number: 19,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Magic Number,The method contains a magic number: 24,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Magic Number,The method contains a magic number: 24,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Magic Number,The method contains a magic number: 34,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Magic Number,The method contains a magic number: 34,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Magic Number,The method contains a magic number: 44,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Magic Number,The method contains a magic number: 9,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Magic Number,The method contains a magic number: 9,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Magic Number,The method contains a magic number: 19,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Magic Number,The method contains a magic number: 19,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Magic Number,The method contains a magic number: 29,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,formata,Magic Number,The method contains a magic number: 29,25
canarinho-master,br.com.concrete.canarinho.formatador,FormatadorLinhaDigitavel,desformata,Long Statement,The length of the statement "final StringBuilder boletoOrdenado=new StringBuilder(primeiroBloco).append(segundoBloco).append(terceiroBloco).append(quartoBloco);" is 131.,79
